HeaderLine,ResultLine
"== Offloading threshold sweep (M=12, N=4, row-major, blocked-CPU) ==","[K= 7] CPU:      1563 cyc | ACC(OS):      1926 cyc | speedup=  0.81x "
"== Offloading threshold sweep (M=12, N=4, row-major, blocked-CPU) ==","[K= 8] CPU:      2588 cyc | ACC(OS):      1889 cyc | speedup=  1.37x <- OFFLOAD"
"== Offloading threshold sweep (M=10, N=6, row-major, blocked-CPU) ==","[K= 1] CPU:      1021 cyc | ACC(OS):      1951 cyc | speedup=  0.52x "
"== Offloading threshold sweep (M=10, N=6, row-major, blocked-CPU) ==","[K= 2] CPU:      1231 cyc | ACC(OS):      1963 cyc | speedup=  0.62x "
"== Offloading threshold sweep (M=10, N=6, row-major, blocked-CPU) ==","[K= 3] CPU:      1148 cyc | ACC(OS):      1957 cyc | speedup=  0.58x "
"== Offloading threshold sweep (M=10, N=6, row-major, blocked-CPU) ==","[K= 4] CPU:      1400 cyc | ACC(OS):      1905 cyc | speedup=  0.73x "
"== Offloading threshold sweep (M=10, N=6, row-major, blocked-CPU) ==","[K= 5] CPU:      1649 cyc | ACC(OS):      1899 cyc | speedup=  0.86x "
"== Offloading threshold sweep (M=10, N=6, row-major, blocked-CPU) ==","[K= 6] CPU:      2526 cyc | ACC(OS):      1911 cyc | speedup=  1.32x <- OFFLOAD"
"== Offloading threshold sweep (M=10, N=6, row-major, blocked-CPU) ==","[K= 7] CPU:      2830 cyc | ACC(OS):      1914 cyc | speedup=  1.47x <- OFFLOAD"
"== Offloading threshold sweep (M=10, N=6, row-major, blocked-CPU) ==","[K= 8] CPU:      3225 cyc | ACC(OS):      1932 cyc | speedup=  1.66x <- OFFLOAD"
"== Offloading threshold sweep (M=12, N=8, row-major, blocked-CPU) ==","[K= 1] CPU:      1468 cyc | ACC(OS):      1973 cyc | speedup=  0.74x "
"== Offloading threshold sweep (M=12, N=8, row-major, blocked-CPU) ==","[K= 2] CPU:      1735 cyc | ACC(OS):      1912 cyc | speedup=  0.90x "
"== Offloading threshold sweep (M=12, N=8, row-major, blocked-CPU) ==","[K= 3] CPU:      1695 cyc | ACC(OS):      1899 cyc | speedup=  0.89x "
"== Offloading threshold sweep (M=12, N=8, row-major, blocked-CPU) ==","[K= 4] CPU:      1826 cyc | ACC(OS):      1906 cyc | speedup=  0.95x "
"== Offloading threshold sweep (M=12, N=8, row-major, blocked-CPU) ==","[K= 5] CPU:      3349 cyc | ACC(OS):      1973 cyc | speedup=  1.69x <- OFFLOAD"
"== Offloading threshold sweep (M=12, N=8, row-major, blocked-CPU) ==","[K= 6] CPU:      4033 cyc | ACC(OS):      1937 cyc | speedup=  2.08x <- OFFLOAD"
"== Offloading threshold sweep (M=12, N=8, row-major, blocked-CPU) ==","[K= 7] CPU:      4192 cyc | ACC(OS):      1953 cyc | speedup=  2.14x <- OFFLOAD"
"== Offloading threshold sweep (M=12, N=8, row-major, blocked-CPU) ==","[K= 8] CPU:      4713 cyc | ACC(OS):      1907 cyc | speedup=  2.47x <- OFFLOAD"
